user_id,user_interest_tags
606827,"original character,genshin impact,naruto,jujutsu kaisen,high school dxd,highschool of the dead,classroom of the elite,the eminence in shadow,crossover,dragon ball,romance,slice of life,f/m,fluff,self-insert,wholesome,reverse harem,love triangle,harem,post-apocalyptic romance"
1054188,"genshin impact,bts,naruto,my hero academia (boku no hero academia),naruto/jujutsu kaisen/demon slayer/my hero academia,jujutsu kaisen,original character,marvel comics,supernatural,unknown,romantic rivalry,love triangle,m x f x f x f x f,princess,multiple love interests,first sight,reverse harem,royal gala,romance,confession"
1101445,"k-pop idols,blue lock,stray kids,life disruption,camaraderie,bromance,caring,emotional support,supportive girlfriend,playful bullying,playful banter,chaos invasion,teasing rivalry"
1287648,"jujutsu kaisen,one piece,naruto,demon slayer,supernatural,demon slayer: kimetsu no yaiba,demon lord,my hero academia,isekai,self-insert,strong female lead,male,girlfriend,protective girlfriend,love triangle,self-insert male,m x f x f,harem,loyal partner,anime"
1325209,"naruto,original character,chainsaw man,genshin impact,jujutsu kaisen,guilty gear,one piece,demon slayer,high school dxd,demon slayer: kimetsu no yaiba,romance,f/m,fluff,adventure,wholesome,hurt/comfort,angst,self-insert,reverse harem,teasing"
1580168,"my hero academia,dragon ball,naruto,my hero academia/naruto/dragon ball,jujutsu kaisen / demon slayer / naruto / my hero academia (crossover),solo leveling,hunter,isekai,re:creators,mortal kombat,reverse harem,possessive,character from different worlds,kind heart,multiple love interests,rival love interests,ice manipulation,ice prince,oblivious protagonist,cross-franchise,girlfriend,romance,school,supernatural,love triangle,forbidden love,harem,school bully,school romance,superpower"
1592165,"naruto,original character,jujutsu kaisen,friends to lovers,unrequited love,opposites attract,love triangle,protective,practical female,m x f x m,oblivious protagonist,childish antics,boisterous male"
1666694,"my hero academia,dragon ball,naruto,reverse harem,multiple love interests,submissive admirers,k-pop fan,devotion,cross-franchise,self-insert protagonist,idol worship,incest,harem,romance,obsession"
1674074,"one piece,naruto,three women competing,reverse harem,romantic rivalry,nami x sanji x hancock,love triangle,quirky pirate adventure,comedic misunderstandings,charismatic cook,sisters,female harem,romance,boyfriend"
1690914,"genshin impact,naruto,bleach,jujutsu kaisen,sword art online,high school dxd,dragon ball,hazbin hotel,tokyo revengers,love triangle,harem,m x f x f,self-insert male,reverse harem,male,wandering protagonist,charismatic bard,romantic interest,shy kunoichi,boyfriend,romance,protective,enemies to lovers,obsession"
1704189,"original character,bts,my hero academia,ip: bts,ip(bts),blackpink,five nights at freddy's,crossover,spy x family,jujutsu kaisen,reverse harem,mafia boss,possessive,obsessive love,possessive boyfriend,trillionaire,self-insert,vampire,ruthless,alpha male"
1706625,"naruto,bts,demon slayer: kimetsu no yaiba,japanese folklore,supernatural,my hero academia,dragon ball,demon slayer,primal,high school dxd,romance,found family,self-insert,celebrity romance,kpop,established relationship,instant attraction,trillionaire,male waiter,class warfare,love triangle"
1726558,"character ai,k-pop,stray kids,anger issues,emotionally distant,situational comedy,forced proximity,birthday celebration,found family,ceo husband,power imbalance,dorm life,high status"
1735196,"dragon ball,naruto,anime,marvel comics,one piece,crossover,dragon ball z,iron man,no plot summary,information missing,no identifiable elements,no chat history,fusion,tournament arc,power increase,goku/vegeta fusion,superpowered battles,exhibition match"
